"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","region","country","geometry","area","map_class","map_class_label","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","ref_class","ref_class_label","confidence","confidence_label","comments"
"200","EPSG:4326","8.045375","9.445375","Rasak Adekola","779","0.0128255667579703","4.85032637439465","Kaduna","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High","Mainly agriculture"
"89","EPSG:4326","7.971875","12.975875","Rasak Adekola","507","0.0112697507317193","4.34292695421393","Katsina","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High","Agriculture"
"125","EPSG:4326","2.896375","7.077625","Rasak Adekola","32","0.00385749918170869","3.82778069560713","Ogun","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"9","EPSG:4326","7.741125","10.668875","Rasak Adekola","599","0.0041738240573313","2.11767483202939","Kaduna","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"184","EPSG:4326","4.797125","8.301625","Rasak Adekola","379","0.00922503216709262","1.94725407665663","Kwara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High","Forest gain"
"36","EPSG:4326","7.927625","7.957375","Rasak Adekola","57","3.84258789971022E-4","5.49631184095691","Benue","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"224","EPSG:4326","4.383375","12.539875","Rasak Adekola","222","0.0122040130686727","5.55254599380074","Kebbi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"29","EPSG:4326","4.271125","10.357125","Rasak Adekola","233","0.0140412700557528","5.82870879766316","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High","Agriculture pronounced"
"176","EPSG:4326","10.376125","10.018125","Rasak Adekola","372","0.0279358665092483","0.545922322148658","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"289","EPSG:4326","11.431625","9.737375","Rasak Adekola","521","0.047464662350753","2.29952395119468","Gombe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"264","EPSG:4326","4.551875","7.508875","Rasak Adekola","258","0.00303353258421065","6.10299643945608","Osun","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"56","EPSG:4326","10.072125","8.708625","Rasak Adekola","162","0.00913662171208484","5.01388466090517","Plateau","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"139","EPSG:4326","5.920125","9.804625","Rasak Adekola","103","0.0105646784013321","4.53163983939966","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"152","EPSG:4326","9.769625","9.312625","Rasak Adekola","356","0.0151231597258697","2.97834665947548","Plateau","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"113","EPSG:4326","9.108625","11.815375","Rasak Adekola","425","0.00200962762000891","5.78308808872317","Kano","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High","Agriculture"
"212","EPSG:4326","8.839875","8.332875","Rasak Adekola","176","0.00680461017561452","3.06145309501446","Nassarawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","3","Deforestation","hi","High",
"107","EPSG:4326","7.243125","12.953125","Rasak Adekola","429","0.00668650198650191","1.69282667179015","Katsina","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"239","EPSG:4326","7.698375","11.517125","Rasak Adekola","610","0.00828238870914731","1.07584977650406","Katsina","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"296","EPSG:4326","9.374375","12.500375","Rasak Adekola","371","4.29734068116707E-4","5.95621220668695","Jigawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"63","EPSG:4326","11.026625","9.391875","Rasak Adekola","318","0.0442931392247545","2.69863673003215","Taraba","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"97","EPSG:4326","11.350375","12.773875","Rasak Adekola","337","6.92206229149227E-4","3.34254361020028","Yobe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High","Agriculture"
"42","EPSG:4326","6.716625","9.367125","Rasak Adekola","342","0.0122461691049394","2.91665986888873","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"290","EPSG:4326","12.861375","13.228875","Rasak Adekola","300","7.7524357884736E-4","3.9370796590562","Borno","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"17","EPSG:4326","3.940375","12.301125","Rasak Adekola","225","0.0040702491403308","2.30039510986537","Kebbi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"294","EPSG:4326","9.709375","9.912375","Rasak Adekola","552","0.00745487186639432","2.17014323505555","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"230","EPSG:4326","11.521375","12.439875","Rasak Adekola","340","6.92170399455348E-4","0.200696678107312","Yobe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"75","EPSG:4326","4.661375","12.654875","Rasak Adekola","269","0.00578808060075521","3.55924380226966","Kebbi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","3","Deforestation","hi","High",
"210","EPSG:4326","6.871875","11.915625","Rasak Adekola","547","0.00859607485796467","3.66130939656764","Zamfara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"191","EPSG:4326","4.488125","9.940875","Rasak Adekola","199","0.0110517500219562","0.894379515426148","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","3","Deforestation","hi","High",
"233","EPSG:4326","5.941625","10.352125","Rasak Adekola","268","0.00595158283727496","2.12262206215377","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","3","Deforestation","hi","High",
"219","EPSG:4326","10.855125","9.721125","Rasak Adekola","302","0.0105392968969216","2.93252954833924","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"32","EPSG:4326","6.532125","8.067625","Rasak Adekola","151","0.0104644217980525","1.79299966176325","Kogi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"227","EPSG:4326","4.673875","11.441125","Rasak Adekola","224","0.00173667566365634","1.88856580392147","Kebbi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High","Agro-pastoral"
"253","EPSG:4326","10.250375","11.211125","Rasak Adekola","423","0.00515430192499626","3.46712861100972","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"133","EPSG:4326","6.954875","6.539375","Rasak Adekola","41","0.0147564884961501","0.508802017673394","Anambra","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"111","EPSG:4326","9.125125","8.650375","Rasak Adekola","170","0.00942879687344713","0.746963979534279","Plateau","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"157","EPSG:4326","8.979375","12.076125","Rasak Adekola","395","1.93366867343983E-4","0.793234094137842","Jigawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"19","EPSG:4326","10.492625","8.160125","Rasak Adekola","170","0.00824386279061655","0.354116014643447","Taraba","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"72","EPSG:4326","9.287625","11.480875","Rasak Adekola","423","0.00314722362005195","0.131443829310183","Jigawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"92","EPSG:4326","10.301625","10.504125","Rasak Adekola","467","0.00818075384927679","3.04091068851203","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"180","EPSG:4326","10.718625","10.993375","Rasak Adekola","326","0.0153900521251725","2.70902460454229","Gombe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"102","EPSG:4326","13.898625","11.419375","Rasak Adekola","316","9.87298987295331E-4","2.1526843148104","Borno","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"218","EPSG:4326","12.472125","12.077375","Rasak Adekola","349","2.75596458548195E-4","4.71238898038469","Borno","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"127","EPSG:4326","12.703875","11.182375","Rasak Adekola","406","0.00424710389743677","2.34997479163714","Borno","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"288","EPSG:4326","5.382875","13.084375","Rasak Adekola","256","0.00476604396692096","3.05440331785279","Sokoto","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"250","EPSG:4326","10.013875","12.374875","Rasak Adekola","359","6.93889390390723E-18","4.71238898038469","Jigawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"93","EPSG:4326","4.120625","12.717875","Rasak Adekola","221","0.005248765260321","5.41489210225857","Kebbi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"232","EPSG:4326","7.978625","12.103375","Rasak Adekola","560","0.00551911705767637","1.52161812821948","Kano","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High","Agriculture"
"293","EPSG:4326","11.607125","13.082875","Rasak Adekola","337","0.00195561494505525","1.70997955329303","Yobe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"286","EPSG:4326","6.566625","11.800625","Rasak Adekola","500","0.0066276485049511","4.0512158134157","Zamfara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"261","EPSG:4326","8.796875","10.059875","Rasak Adekola","1159","0.0161494688998838","0.345815951976833","Plateau","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"98","EPSG:4326","6.519125","11.928125","Rasak Adekola","486","0.00628550339264602","0.381687076036342","Zamfara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High","Forest Gain"
"11","EPSG:4326","10.570625","9.101375","Rasak Adekola","189","0.00377490462535611","3.67226525249949","Plateau","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"242","EPSG:4326","6.690875","9.227375","Rasak Adekola","225","0.00848400596152734","3.86204290888264","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"66","EPSG:4326","9.701125","12.380875","Rasak Adekola","365","4.35529429371114E-4","5.02913115885688","Jigawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"249","EPSG:4326","12.922625","10.428625","Rasak Adekola","475","0.0048393823681989","5.41305351037674","Adamawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"278","EPSG:4326","13.510125","12.376875","Rasak Adekola","294","6.92164239052439E-4","0.200652923877165","Borno","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"196","EPSG:4326","12.257625","12.926625","Rasak Adekola","321","0.00175029050633767","3.82560239509623","Yobe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"82","EPSG:4326","6.919125","11.992625","Rasak Adekola","530","0.00732654199623745","5.11174800859614","Zamfara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"33","EPSG:4326","4.504625","9.934125","Rasak Adekola","174","0.0108946244931679","1.26732132341454","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"292","EPSG:4326","9.888625","9.367625","Rasak Adekola","362","0.0105915485632525","3.89399400655453","Plateau","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"145","EPSG:4326","10.907875","9.758375","Rasak Adekola","374","0.0195164787882441","2.10297214018507","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"274","EPSG:4326","7.938125","11.723625","Rasak Adekola","546","0.00747676102004899","1.92274592421372","Kano","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"104","EPSG:4326","6.139125","13.554375","Rasak Adekola","309","0.00426533071359731","0.47231484813125","Sokoto","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"83","EPSG:4326","4.128625","12.572375","Rasak Adekola","233","0.00665804356391139","1.79683767262057","Kebbi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"263","EPSG:4326","9.664625","12.050875","Rasak Adekola","375","0.00193357708404327","0.793187461799288","Jigawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"62","EPSG:4326","11.068375","12.517125","Rasak Adekola","344","0.00135472484625435","5.48911095684293","Yobe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"7","EPSG:4326","12.837125","11.062125","Rasak Adekola","417","0.00589874634070439","0.458096552981549","Borno","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"199","EPSG:4326","3.362625","6.459125","Rasak Adekola","3","0.00149835890176987","0.0906290249853288","Lagos","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"131","EPSG:4326","5.970125","9.333625","Rasak Adekola","150","0.00498296588792445","4.54831077480015","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"122","EPSG:4326","11.185875","11.280875","Rasak Adekola","366","0.0247459378362752","3.97240374952394","Gombe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"209","EPSG:4326","7.337875","11.866875","Rasak Adekola","573","0.00586450004357208","3.76890686697671","Katsina","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"225","EPSG:4326","8.187375","11.222125","Rasak Adekola","647","0.0120308583865444","6.08783219283574","Kaduna","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"59","EPSG:4326","8.959875","6.782125","Rasak Adekola","142","0.00674791858057618","5.75642803021493","Cross River","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"121","EPSG:4326","9.331125","10.818125","Rasak Adekola","562","0.00444985257116852","0.704192857307727","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","3","Deforestation","hi","High",
"2","EPSG:4326","6.143625","11.312375","Rasak Adekola","466","0.00849999181665324","0.746403081715308","Zamfara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"25","EPSG:4326","5.212875","11.019875","Rasak Adekola","327","0.0109856730348371","4.73708828009745","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"44","EPSG:4326","7.104625","12.633375","Rasak Adekola","488","0.00445226793376433","2.3472911526709","Katsina","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"142","EPSG:4326","5.016375","11.292125","Rasak Adekola","281","0.0100406657387849","2.34977252420528","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"215","EPSG:4326","12.098375","10.813625","Rasak Adekola","713","0.0134055579526163","0.6611141253909","Borno","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"108","EPSG:4326","6.652125","10.265375","Rasak Adekola","362","0.0153969376760593","1.65901617033682","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"153","EPSG:4326","10.553875","11.038625","Rasak Adekola","448","0.0149700942122229","1.16067837571326","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"118","EPSG:4326","10.535625","11.986875","Rasak Adekola","376","0.00117307390986786","5.65566665074227","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"110","EPSG:4326","5.435125","13.206875","Rasak Adekola","327","0.0157876620275793","4.67801222625487","Sokoto","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"287","EPSG:4326","7.844125","12.851625","Rasak Adekola","506","0.00699818082233122","4.45764569524918","Katsina","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"132","EPSG:4326","9.559375","12.538625","Rasak Adekola","366","7.03399735916394E-4","1.37672355259458","Jigawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"70","EPSG:4326","9.246625","10.359375","Rasak Adekola","756","0.0198316506126573","1.05583043490488","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"87","EPSG:4326","11.161375","11.929375","Rasak Adekola","376","0.00196566704583824","0.594999232740253","Yobe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"179","EPSG:4326","4.788625","6.372875","Rasak Adekola","8","9.58978292412016E-4","2.35645562759583","Ondo","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"148","EPSG:4326","8.024875","11.017875","Rasak Adekola","661","0.00618122026802777","5.46061248554384","Kaduna","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"143","EPSG:4326","9.125875","9.913125","Rasak Adekola","1016","0.107416840629488","5.76785445790654","Plateau","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"295","EPSG:4326","4.468375","11.189875","Rasak Adekola","148","0.00191894172801666","3.2852457796781","Kebbi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"43","EPSG:4326","4.668875","8.239875","Rasak Adekola","375","0.00671862651267253","5.26506247998917","Kwara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High","Gain not due to afforestation"
"60","EPSG:4326","4.648125","13.667375","Rasak Adekola","295","8.32056278331383E-4","1.5707963267949","Sokoto","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"123","EPSG:4326","6.013875","12.939625","Rasak Adekola","290","0.00234912066751287","3.77085398270282","Sokoto","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"181","EPSG:4326","9.200625","11.213375","Rasak Adekola","503","0.00434965885194818","6.21997998273227","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"34","EPSG:4326","6.558125","12.665875","Rasak Adekola","382","0.00967504848080036","5.30779684180052","Zamfara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
